               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039987,            0.023958,           0.0016045,             0.75486,             0.73444,             0.70139,             0.29449,            0.044228,            0.023142,           0.0013747,            0.005206,            0.005206,            0.035006
                  37,            0.045094,            0.036909,           0.0018157,             0.74449,             0.75051,              0.6893,             0.24639,            0.045163,            0.023468,           0.0013782,            0.005254,            0.005254,            0.033154
                  38,            0.041721,            0.021169,            0.001816,             0.72497,             0.71049,             0.66946,             0.26311,            0.046577,            0.025131,           0.0015045,           0.0052959,           0.0052959,            0.031296
                  39,            0.039776,            0.029665,           0.0016393,             0.77271,              0.7371,             0.71905,             0.32455,            0.042871,            0.025847,           0.0027876,           0.0053315,           0.0053315,            0.029431
                  40,            0.041291,            0.024662,           0.0016797,             0.79809,             0.81985,             0.77892,             0.33272,            0.041327,            0.022365,           0.0012579,           0.0053609,           0.0053609,            0.027561
                  41,            0.040077,            0.021579,           0.0014748,             0.88417,             0.83857,             0.87524,             0.39951,            0.037395,            0.017846,           0.0015163,           0.0053841,           0.0053841,            0.025684
                  42,            0.039317,            0.023632,           0.0013955,             0.82728,              0.7762,             0.75739,             0.31571,            0.039548,            0.021323,           0.0018453,           0.0054012,           0.0054012,            0.023801
                  43,            0.039334,            0.025407,           0.0015011,             0.72197,             0.73348,             0.67564,             0.26732,            0.044231,            0.024106,           0.0015557,           0.0054122,           0.0054122,            0.021912
                  44,            0.038808,            0.028545,           0.0015087,             0.74068,             0.76329,             0.69557,             0.26659,            0.047701,            0.022644,           0.0012245,           0.0054171,           0.0054171,            0.020017
                  45,            0.037309,            0.019122,            0.001275,             0.78276,             0.77327,             0.73154,             0.29233,            0.043066,            0.024151,           0.0012216,           0.0054161,           0.0054161,            0.018116
                  46,            0.038415,            0.029668,           0.0014805,             0.82702,             0.78086,             0.75712,             0.30269,            0.042444,            0.022279,           0.0010562,           0.0054091,           0.0054091,            0.016209
                  47,            0.038807,            0.026698,           0.0014811,             0.82316,             0.77108,             0.77181,             0.34068,            0.039913,            0.023624,           0.0027595,           0.0053963,           0.0053963,            0.014296
                  48,            0.036951,            0.020205,           0.0013185,             0.69561,             0.66677,             0.61809,             0.27054,            0.046054,            0.024385,           0.0013994,           0.0053778,           0.0053778,            0.012378
                  49,            0.037806,            0.026292,           0.0014658,             0.68121,             0.68394,             0.62448,             0.25809,            0.048047,            0.028136,           0.0015292,           0.0053536,           0.0053536,            0.010454
                  50,            0.037062,            0.026423,           0.0016332,             0.85395,             0.80527,             0.81374,              0.3442,            0.040849,            0.020576,           0.0011476,            0.005324,            0.005324,            0.008524
                  51,            0.037151,            0.025627,           0.0013799,             0.81935,             0.76766,             0.78221,             0.34436,            0.040465,            0.021618,           0.0017178,            0.005289,            0.005289,            0.006589
                  52,            0.036134,            0.024289,           0.0013729,             0.88943,             0.75817,             0.85258,             0.40515,             0.03704,            0.019737,           0.0043011,           0.0052174,           0.0052174,           0.0052174
                  53,            0.036388,            0.027152,            0.001343,              0.8579,             0.84249,             0.84869,             0.40223,            0.036782,            0.020115,            0.001121,           0.0052174,           0.0052174,           0.0052174
                  54,            0.037261,            0.028741,           0.0014173,             0.76399,             0.75649,              0.7169,              0.3169,            0.041377,            0.023702,           0.0014492,           0.0050765,           0.0050765,           0.0050765
                  55,            0.035933,            0.024104,           0.0012802,             0.81988,             0.77261,             0.75561,             0.34315,            0.039991,            0.023121,          0.00079792,            0.004936,            0.004936,            0.004936
                  56,            0.036344,            0.029334,           0.0011958,              0.7826,             0.75805,             0.71786,             0.29638,            0.043113,            0.026255,           0.0012443,            0.004796,            0.004796,            0.004796
                  57,            0.035348,            0.029648,           0.0013333,             0.76561,             0.72993,             0.69038,             0.30461,            0.042579,            0.026559,           0.0015258,           0.0046568,           0.0046568,           0.0046568
                  58,             0.03424,            0.019644,          0.00098146,              0.8205,             0.83865,             0.82562,             0.38013,            0.037793,            0.020367,            0.001134,           0.0045184,           0.0045184,           0.0045184
                  59,            0.035165,             0.03045,           0.0012969,             0.87935,             0.85124,             0.86256,             0.39752,            0.037711,            0.020076,            0.001302,           0.0043809,           0.0043809,           0.0043809
                  60,            0.033477,            0.022696,           0.0011328,             0.79093,             0.78332,             0.75627,             0.33676,            0.040569,            0.021799,           0.0013277,           0.0042445,           0.0042445,           0.0042445
                  61,            0.033363,            0.022141,           0.0010509,             0.77997,             0.78042,             0.73769,             0.33324,            0.040051,            0.023544,           0.0015496,           0.0041094,           0.0041094,           0.0041094
                  62,            0.032748,            0.025127,          0.00092209,             0.77807,             0.73869,             0.71593,             0.31303,            0.043778,            0.025496,          0.00093336,           0.0039757,           0.0039757,           0.0039757
                  63,             0.03244,            0.022236,          0.00080947,             0.73566,             0.72954,             0.69776,             0.28998,            0.042813,            0.025924,           0.0012387,           0.0038434,           0.0038434,           0.0038434
                  64,            0.031656,            0.024482,          0.00089308,             0.78588,             0.75108,             0.71695,             0.31324,            0.042222,            0.024736,           0.0018402,           0.0037128,           0.0037128,           0.0037128
                  65,            0.032325,            0.026212,          0.00094899,             0.78426,              0.7721,             0.73435,             0.31599,            0.042521,            0.023944,           0.0011113,            0.003584,            0.003584,            0.003584
                  66,            0.031547,            0.023753,          0.00089166,             0.83854,             0.81317,             0.80436,             0.37073,            0.039345,            0.022466,           0.0010627,            0.003457,            0.003457,            0.003457
                  67,            0.031651,            0.030759,            0.001061,             0.72996,             0.74375,             0.68609,             0.29552,            0.042931,             0.02599,           0.0018704,           0.0033321,           0.0033321,           0.0033321
                  68,            0.032077,            0.027057,          0.00076642,              0.8098,              0.8034,             0.76772,             0.34082,            0.039653,            0.023609,          0.00087951,           0.0032093,           0.0032093,           0.0032093
                  69,             0.03174,            0.026206,          0.00067695,             0.75484,              0.7457,             0.69304,             0.31058,            0.041219,            0.025212,          0.00088681,           0.0030888,           0.0030888,           0.0030888
                  70,            0.031825,            0.035444,          0.00072529,             0.77253,             0.76333,              0.7214,             0.31222,            0.042152,            0.027152,           0.0013614,           0.0029706,           0.0029706,           0.0029706
                  71,            0.030424,            0.023023,          0.00071209,             0.80622,             0.78381,             0.76601,             0.34401,            0.039552,            0.022579,           0.0012008,            0.002855,            0.002855,            0.002855
                  72,            0.030956,            0.024716,          0.00064842,             0.82633,              0.7959,             0.78254,             0.35896,            0.038947,            0.023465,           0.0009819,           0.0027419,           0.0027419,           0.0027419
                  73,            0.030524,             0.02504,          0.00067563,             0.78688,             0.78532,              0.7511,              0.3503,            0.039202,            0.024992,          0.00075127,           0.0026316,           0.0026316,           0.0026316
                  74,            0.030609,            0.024339,          0.00063746,             0.80208,             0.79946,             0.76324,             0.34357,            0.040046,            0.023529,           0.0008811,           0.0025241,           0.0025241,           0.0025241
