               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034838,            0.026228,           0.0011493,             0.82577,             0.82319,             0.81404,             0.34449,            0.040762,            0.025298,           0.0010403,           0.0030888,           0.0030888,           0.0030888
                  36,            0.033605,            0.025459,           0.0010747,             0.76169,              0.7809,             0.75778,             0.33522,            0.041009,            0.027461,          0.00099034,            0.002855,            0.002855,            0.002855
                  37,            0.033997,            0.027262,          0.00096329,             0.80429,             0.78716,             0.76304,             0.36329,            0.038938,            0.026249,           0.0007588,           0.0026316,           0.0026316,           0.0026316
                  38,            0.032936,            0.028467,          0.00095367,             0.81689,             0.78302,             0.77857,             0.36503,            0.039872,            0.027263,           0.0011324,           0.0024195,           0.0024195,           0.0024195
                  39,            0.032959,            0.027556,          0.00093362,             0.80391,             0.77797,             0.75458,             0.33514,             0.04114,            0.029717,          0.00067437,           0.0022196,           0.0022196,           0.0022196
                  40,            0.032754,            0.021866,          0.00075826,             0.79249,             0.76818,             0.74702,             0.33892,            0.039967,            0.028304,          0.00095357,           0.0020327,           0.0020327,           0.0020327
                  41,            0.032281,            0.019754,          0.00063334,             0.78066,             0.75691,             0.72482,             0.31893,            0.042022,            0.030007,          0.00078711,           0.0018594,           0.0018594,           0.0018594
                  42,            0.032133,            0.024972,          0.00087831,             0.84174,             0.81655,             0.80417,             0.37453,            0.038663,            0.025414,          0.00071011,           0.0017005,           0.0017005,           0.0017005
                  43,            0.030855,            0.021812,          0.00068982,             0.79643,             0.79158,             0.75311,             0.33465,            0.041167,            0.029008,           0.0008443,           0.0015566,           0.0015566,           0.0015566
                  44,            0.031237,            0.027681,           0.0007032,             0.80953,              0.7904,             0.76679,              0.3404,            0.041119,            0.027434,          0.00077526,           0.0014283,           0.0014283,           0.0014283
                  45,            0.029639,            0.021152,           0.0004848,             0.80515,             0.76675,             0.74342,             0.33575,            0.041237,            0.029345,          0.00085803,            0.001316,            0.001316,            0.001316
                  46,            0.031433,            0.026387,           0.0006372,             0.78651,             0.76966,             0.73725,             0.33172,            0.041503,            0.029814,          0.00080031,           0.0012202,           0.0012202,           0.0012202
                  47,            0.030619,            0.022683,          0.00058396,             0.80177,             0.79605,             0.76742,             0.35238,            0.040354,            0.028062,          0.00072706,           0.0011414,           0.0011414,           0.0011414
                  48,            0.029827,            0.020507,          0.00059905,             0.79035,             0.77755,             0.74075,             0.33221,            0.041517,            0.029829,          0.00071232,           0.0010797,           0.0010797,           0.0010797
                  49,             0.02998,            0.021975,            0.000499,             0.81439,             0.80035,              0.7757,             0.35568,             0.03986,            0.027978,          0.00064821,           0.0010355,           0.0010355,           0.0010355
